Epoch,Loss,Learning_Rate,GT_Status
76,6737946875030514987813568512.0000,0.005682,GALOIS_TEICHMULLER_SHIELD_SAFE
77,6737946875030514987813568512.0000,0.005650,GALOIS_TEICHMULLER_SHIELD_SAFE
78,6737946875030514987813568512.0000,0.005618,GALOIS_TEICHMULLER_SHIELD_SAFE
79,6737946875030514987813568512.0000,0.005587,GALOIS_TEICHMULLER_SHIELD_SAFE
80,6737946875030514987813568512.0000,0.005556,GALOIS_TEICHMULLER_SHIELD_SAFE
81,6737946875030514987813568512.0000,0.005525,GALOIS_TEICHMULLER_SHIELD_SAFE
82,6737946875030514987813568512.0000,0.005495,GALOIS_TEICHMULLER_SHIELD_SAFE
83,6737946875030514987813568512.0000,0.005464,GALOIS_TEICHMULLER_SHIELD_SAFE
84,6737946875030514987813568512.0000,0.005435,GALOIS_TEICHMULLER_SHIELD_SAFE
85,6737946875030514987813568512.0000,0.005405,GALOIS_TEICHMULLER_SHIELD_SAFE
86,6737946875030514987813568512.0000,0.005376,GALOIS_TEICHMULLER_SHIELD_SAFE
87,6737946875030514987813568512.0000,0.005348,GALOIS_TEICHMULLER_SHIELD_SAFE
88,6737946875030514987813568512.0000,0.005319,GALOIS_TEICHMULLER_SHIELD_SAFE
89,6737946875030514987813568512.0000,0.005291,GALOIS_TEICHMULLER_SHIELD_SAFE
90,6737946875030514987813568512.0000,0.005263,GALOIS_TEICHMULLER_SHIELD_SAFE
91,6737946875030514987813568512.0000,0.005236,GALOIS_TEICHMULLER_SHIELD_SAFE
92,6737946875030514987813568512.0000,0.005208,GALOIS_TEICHMULLER_SHIELD_SAFE
93,6737946875030514987813568512.0000,0.005181,GALOIS_TEICHMULLER_SHIELD_SAFE
94,6737946875030514987813568512.0000,0.005155,GALOIS_TEICHMULLER_SHIELD_SAFE
95,6737946875030514987813568512.0000,0.005128,GALOIS_TEICHMULLER_SHIELD_SAFE
96,6737946875030514987813568512.0000,0.005102,GALOIS_TEICHMULLER_SHIELD_SAFE
97,6737946875030514987813568512.0000,0.005076,GALOIS_TEICHMULLER_SHIELD_SAFE
98,6737946875030514987813568512.0000,0.005051,GALOIS_TEICHMULLER_SHIELD_SAFE
99,6737946875030514987813568512.0000,0.005025,GALOIS_TEICHMULLER_SHIELD_SAFE
100,6737946875030514987813568512.0000,0.005000,GALOIS_TEICHMULLER_SHIELD_SAFE
