Epoch,Loss,Learning_Rate,L1_Scale,L2_Scale,Non_Abelian_H,Landauer_Status
81,67379529464592734355456.0000,0.005525,1.3940,0.0294,1.000000000000000000,INFORMATION_ERASURE_BOUND_SAFE
82,67379529464592734355456.0000,0.005495,1.3986,0.0301,1.000000000000000000,INFORMATION_ERASURE_BOUND_SAFE
83,67379529464592734355456.0000,0.005464,1.4032,0.0308,1.000000000000000000,LANDAUER_LIMIT_APPROACH_REVERSIBLE_RESET
84,67379529464592734355456.0000,0.005435,1.4078,0.0316,1.000000000000000000,INFORMATION_ERASURE_BOUND_SAFE
85,67379529464592734355456.0000,0.005405,1.4123,0.0323,1.000000000000000000,INFORMATION_ERASURE_BOUND_SAFE
86,67379529464592734355456.0000,0.005376,1.4169,0.0331,1.000000000000000000,LANDAUER_LIMIT_APPROACH_REVERSIBLE_RESET
87,67379529464592734355456.0000,0.005348,1.4214,0.0339,1.000000000000000000,LANDAUER_LIMIT_APPROACH_REVERSIBLE_RESET
88,67379529464592734355456.0000,0.005319,1.4259,0.0346,1.000000000000000000,INFORMATION_ERASURE_BOUND_SAFE
89,67379529464592734355456.0000,0.005291,1.4305,0.0354,1.000000000000000000,LANDAUER_LIMIT_APPROACH_REVERSIBLE_RESET
90,67379529464592734355456.0000,0.005263,1.4350,0.0362,1.000000000000000000,LANDAUER_LIMIT_APPROACH_REVERSIBLE_RESET
91,67379529464592734355456.0000,0.005236,1.4395,0.0370,1.000000000000000000,INFORMATION_ERASURE_BOUND_SAFE
92,67379529464592734355456.0000,0.005208,1.4439,0.0378,1.000000000000000000,INFORMATION_ERASURE_BOUND_SAFE
93,67379529464592734355456.0000,0.005181,1.4484,0.0387,1.000000000000000000,LANDAUER_LIMIT_APPROACH_REVERSIBLE_RESET
94,67379529464592734355456.0000,0.005155,1.4529,0.0395,1.000000000000000000,INFORMATION_ERASURE_BOUND_SAFE
95,67379529464592734355456.0000,0.005128,1.4573,0.0403,1.000000000000000000,INFORMATION_ERASURE_BOUND_SAFE
96,67379529464592734355456.0000,0.005102,1.4618,0.0412,1.000000000000000000,LANDAUER_LIMIT_APPROACH_REVERSIBLE_RESET
97,67379529464592734355456.0000,0.005076,1.4662,0.0420,1.000000000000000000,INFORMATION_ERASURE_BOUND_SAFE
98,67379529464592734355456.0000,0.005051,1.4706,0.0429,1.000000000000000000,INFORMATION_ERASURE_BOUND_SAFE
99,67379529464592734355456.0000,0.005025,1.4750,0.0438,1.000000000000000000,LANDAUER_LIMIT_APPROACH_REVERSIBLE_RESET
100,67379529464592734355456.0000,0.005000,1.4794,0.0447,1.000000000000000000,INFORMATION_ERASURE_BOUND_SAFE
