Epoch,Loss,Learning_Rate,L1_Scale,L2_Scale,Attractor_Status
32,67379466414197951168512.0000,0.007576,1.1593,0.0046,DISSIPATIVE_ACTIVE
33,67379466414197951168512.0000,0.007519,1.1643,0.0049,DISSIPATIVE_ACTIVE
34,67379466414197951168512.0000,0.007463,1.1692,0.0052,DISSIPATIVE_ACTIVE
35,67379466414197951168512.0000,0.007407,1.1741,0.0055,DISSIPATIVE_ACTIVE
36,67379466414197951168512.0000,0.007353,1.1790,0.0058,DISSIPATIVE_ACTIVE
37,67379466414197951168512.0000,0.007299,1.1839,0.0062,DISSIPATIVE_ACTIVE
38,67379466414197951168512.0000,0.007246,1.1889,0.0065,DISSIPATIVE_ACTIVE
39,67379466414197951168512.0000,0.007194,1.1938,0.0068,DISSIPATIVE_ACTIVE
40,67379466414197951168512.0000,0.007143,1.1987,0.0072,DISSIPATIVE_ACTIVE
41,67379466414197951168512.0000,0.007092,1.2036,0.0076,DISSIPATIVE_ACTIVE
42,67379466414197951168512.0000,0.007042,1.2085,0.0079,DISSIPATIVE_ACTIVE
43,67379466414197951168512.0000,0.006993,1.2133,0.0083,DISSIPATIVE_ACTIVE
44,67379466414197951168512.0000,0.006944,1.2182,0.0087,DISSIPATIVE_ACTIVE
45,67379466414197951168512.0000,0.006897,1.2231,0.0091,DISSIPATIVE_ACTIVE
46,67379466414197951168512.0000,0.006849,1.2280,0.0095,DISSIPATIVE_ACTIVE
47,67379466414197951168512.0000,0.006803,1.2328,0.0099,DISSIPATIVE_ACTIVE
48,67379466414197951168512.0000,0.006757,1.2377,0.0104,DISSIPATIVE_ACTIVE
49,67379466414197951168512.0000,0.006711,1.2426,0.0108,DISSIPATIVE_ACTIVE
50,67379466414197951168512.0000,0.006667,1.2474,0.0112,DISSIPATIVE_ACTIVE
51,67379466414197951168512.0000,0.006623,1.2522,0.0117,DISSIPATIVE_ACTIVE
52,67379466414197951168512.0000,0.006579,1.2571,0.0121,DISSIPATIVE_ACTIVE
53,67379466414197951168512.0000,0.006536,1.2619,0.0126,DISSIPATIVE_ACTIVE
54,67379466414197951168512.0000,0.006494,1.2667,0.0131,DISSIPATIVE_ACTIVE
55,67379466414197951168512.0000,0.006452,1.2715,0.0136,DISSIPATIVE_ACTIVE
56,67379466414197951168512.0000,0.006410,1.2764,0.0141,DISSIPATIVE_ACTIVE
57,67379466414197951168512.0000,0.006369,1.2812,0.0146,DISSIPATIVE_ACTIVE
58,67379466414197951168512.0000,0.006329,1.2860,0.0151,DISSIPATIVE_ACTIVE
59,67379466414197951168512.0000,0.006289,1.2907,0.0156,DISSIPATIVE_ACTIVE
60,67379466414197951168512.0000,0.006250,1.2955,0.0162,DISSIPATIVE_ACTIVE
61,67379466414197951168512.0000,0.006211,1.3003,0.0167,DISSIPATIVE_ACTIVE
62,67379466414197951168512.0000,0.006173,1.3051,0.0172,DISSIPATIVE_ACTIVE
63,67379466414197951168512.0000,0.006135,1.3098,0.0178,DISSIPATIVE_ACTIVE
64,67379466414197951168512.0000,0.006098,1.3146,0.0184,DISSIPATIVE_ACTIVE
65,67379466414197951168512.0000,0.006061,1.3193,0.0190,DISSIPATIVE_ACTIVE
66,67379466414197951168512.0000,0.006024,1.3240,0.0195,DISSIPATIVE_ACTIVE
67,67379466414197951168512.0000,0.005988,1.3288,0.0201,DISSIPATIVE_ACTIVE
68,67379466414197951168512.0000,0.005952,1.3335,0.0207,DISSIPATIVE_ACTIVE
69,67379466414197951168512.0000,0.005917,1.3382,0.0213,DISSIPATIVE_ACTIVE
70,67379466414197951168512.0000,0.005882,1.3429,0.0220,DISSIPATIVE_ACTIVE
71,67379466414197951168512.0000,0.005848,1.3476,0.0226,DISSIPATIVE_ACTIVE
72,67379466414197951168512.0000,0.005814,1.3523,0.0232,DISSIPATIVE_ACTIVE
73,67379466414197951168512.0000,0.005780,1.3569,0.0239,DISSIPATIVE_ACTIVE
74,67379466414197951168512.0000,0.005747,1.3616,0.0245,DISSIPATIVE_ACTIVE
75,67379466414197951168512.0000,0.005714,1.3663,0.0252,DISSIPATIVE_ACTIVE
76,67379466414197951168512.0000,0.005682,1.3709,0.0259,DISSIPATIVE_ACTIVE
77,67379466414197951168512.0000,0.005650,1.3756,0.0266,DISSIPATIVE_ACTIVE
78,67379466414197951168512.0000,0.005618,1.3802,0.0273,DISSIPATIVE_ACTIVE
79,67379466414197951168512.0000,0.005587,1.3848,0.0280,DISSIPATIVE_ACTIVE
80,67379466414197951168512.0000,0.005556,1.3894,0.0287,DISSIPATIVE_ACTIVE
81,67379466414197951168512.0000,0.005525,1.3940,0.0294,DISSIPATIVE_ACTIVE
82,67379466414197951168512.0000,0.005495,1.3986,0.0301,DISSIPATIVE_ACTIVE
83,67379466414197951168512.0000,0.005464,1.4032,0.0308,DISSIPATIVE_ACTIVE
84,67379466414197951168512.0000,0.005435,1.4078,0.0316,DISSIPATIVE_ACTIVE
85,67379466414197951168512.0000,0.005405,1.4123,0.0323,DISSIPATIVE_ACTIVE
86,67379466414197951168512.0000,0.005376,1.4169,0.0331,DISSIPATIVE_ACTIVE
87,67379466414197951168512.0000,0.005348,1.4214,0.0339,DISSIPATIVE_ACTIVE
88,67379466414197951168512.0000,0.005319,1.4259,0.0346,DISSIPATIVE_ACTIVE
89,67379466414197951168512.0000,0.005291,1.4305,0.0354,DISSIPATIVE_ACTIVE
90,67379466414197951168512.0000,0.005263,1.4350,0.0362,DISSIPATIVE_ACTIVE
91,67379466414197951168512.0000,0.005236,1.4395,0.0370,DISSIPATIVE_ACTIVE
92,67379466414197951168512.0000,0.005208,1.4439,0.0378,DISSIPATIVE_ACTIVE
93,67379466414197951168512.0000,0.005181,1.4484,0.0387,DISSIPATIVE_ACTIVE
94,67379466414197951168512.0000,0.005155,1.4529,0.0395,DISSIPATIVE_ACTIVE
95,67379466414197951168512.0000,0.005128,1.4573,0.0403,DISSIPATIVE_ACTIVE
96,67379466414197951168512.0000,0.005102,1.4618,0.0412,DISSIPATIVE_ACTIVE
97,67379466414197951168512.0000,0.005076,1.4662,0.0420,DISSIPATIVE_ACTIVE
98,67379466414197951168512.0000,0.005051,1.4706,0.0429,DISSIPATIVE_ACTIVE
99,67379466414197951168512.0000,0.005025,1.4750,0.0438,DISSIPATIVE_ACTIVE
100,67379466414197951168512.0000,0.005000,1.4794,0.0447,DISSIPATIVE_ACTIVE
