Epoch,Raw_Loss,Manipulation_Filter,System_Status
42,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
43,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
44,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
45,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
46,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
47,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
48,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
49,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
50,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
51,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
52,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
53,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
54,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
55,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
56,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
57,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
58,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
59,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
60,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
61,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
62,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
63,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
64,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
65,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
66,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
67,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
68,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
69,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
70,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
71,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
72,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
73,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
74,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
75,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
76,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
77,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
78,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
79,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
80,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
81,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
82,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
83,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
84,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
85,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
86,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
87,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
88,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
89,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
90,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
91,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
92,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
93,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
94,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
95,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
96,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
97,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
98,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
99,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
100,5.0000,NONE(RAW_INTEGRITY),UNMANIPULATED_PURE_RUN
