Epoch,Loss,Learning_Rate,Koszul_Factor,Tamagawa_Status
43,2.6825,0.006993,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
44,2.6328,0.006944,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
45,2.5835,0.006897,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
46,2.5348,0.006849,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
47,2.4868,0.006803,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
48,2.4396,0.006757,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
49,2.3931,0.006711,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
50,2.3476,0.006667,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
51,2.3032,0.006623,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
52,2.2598,0.006579,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
53,2.2176,0.006536,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
54,2.1766,0.006494,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
55,2.1369,0.006452,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
56,2.0985,0.006410,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
57,2.0615,0.006369,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
58,2.0260,0.006329,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
59,1.9918,0.006289,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
60,1.9592,0.006250,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
61,1.9279,0.006211,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
62,1.8982,0.006173,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
63,1.8699,0.006135,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
64,1.8430,0.006098,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
65,1.8175,0.006061,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
66,1.7934,0.006024,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
67,1.7705,0.005988,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
68,1.7489,0.005952,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
69,1.7285,0.005917,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
70,1.7091,0.005882,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
71,1.6907,0.005848,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
72,1.6733,0.005814,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
73,1.6567,0.005780,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
74,1.6409,0.005747,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
75,1.6256,0.005714,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
76,1.6109,0.005682,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
77,1.5966,0.005650,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
78,1.5827,0.005618,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
79,1.5689,0.005587,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
80,1.5553,0.005556,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
81,1.5417,0.005525,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
82,1.5279,0.005495,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
83,1.5140,0.005464,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
84,1.4999,0.005435,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
85,1.4854,0.005405,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
86,1.4704,0.005376,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
87,1.4550,0.005348,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
88,1.4390,0.005319,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
89,1.4225,0.005291,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
90,1.4052,0.005263,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
91,1.3873,0.005236,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
92,1.3688,0.005208,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
93,1.3495,0.005181,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
94,1.3295,0.005155,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
95,1.3088,0.005128,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
96,1.2874,0.005102,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
97,1.2654,0.005076,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
98,1.2427,0.005051,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
99,1.2195,0.005025,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
100,1.1958,0.005000,1.000000000000000000000000,TAMAGAWA_VOLUME_INVARIANT_SAFE
